225,BANARISUG,2253.9,2253.9,2152.25,2193.95,2198.5,2225.55,957,2098657.5,230
226,BANCOINDIA,175.6,178.3,174.1,177.7,177.4,176.2,67529,11903422.75,5703
227,BANDHANBNK,276.05,279,266.6,270.3,270.35,275.35,4238162,1147639052,35291
228,BANG,38.3,38.8,37.65,38.5,38.6,38.5,10525,402727.2,229
229,BANKA,86.05,88.4,79.65,80.8,80.25,79.6,146232,12223828.75,2003
230,BANKBARODA,106,106.4,103.3,104.05,103.75,105.2,15017788,1565854915,51195
231,BANKBEES,352.99,352.99,348.76,351.06,351.02,351.09,267436,93709346.2,4959
232,BANKINDIA,46,46,45.1,45.6,45.55,45.75,790116,35897923,3267
233,BANSWRAS,221.15,221.9,215.05,216.25,217.9,216.85,4054,883906.9,181
234,BARBEQUE,1056,1105.35,1056,1078.5,1072,1062.8,53506,57965544.95,4809
235,BARTRONICS,4,4.3,4,4.15,4.1,4.2,6406,25892.35,37
236,BASF,2761,2764.45,2732.25,2738.9,2735,2744.35,10748,29529309.95,1981
237,BASML,55.2,55.2,54,54.35,54.25,55,20765,1128845.75,243
238,BATAINDIA,1790.05,1817.4,1790.05,1812.5,1806.6,1785.05,133256,240541157.5,8585
239,BAYERCROP,5305.9,5341.9,5250,5286.35,5297,5278.1,5424,28726708.15,1745
240,BBETF0432,988.5,988.84,987.18,987.59,987.5,988,2635,2603732.76,46
241,BBL,1644.55,1660.8,1605.2,1623.25,1616,1636.35,4752,7724196.95,902
242,BBOX,142,143.7,138.3,140.5,139.5,141.15,14537,2046660.8,585
243,BBTC,930,940,914.9,918.9,919,930.2,37537,34815532.95,3279
244,BCG,44.15,44.9,43.7,43.7,43.7,45.95,2272366,99614371.45,6958
245,BCLIND,389,397.9,381.6,386.65,385,385.2,203811,78714586.65,1348
246,BCONCEPTS,117.1,125.5,117.1,124,123.65,122.45,8558,1041372.3,138
247,BCP,4.15,4.25,4.05,4.1,4.1,4.15,95235,394419.9,257
248,BDL,696,696.8,678.85,692.4,690.05,693.8,283835,195297497.5,10945
249,BEARDSELL,16.05,16.05,15.5,15.55,15.5,15.75,8707,135767.3,152
250,BECTORFOOD,302,302.8,298.25,300.75,300.55,300.75,39168,11758564.25,1647
251,BEDMUTHA,68.35,71.95,68.35,69.9,69.15,70.2,8472,588816.8,160
252,BEL,237.5,246.7,237.4,245.5,246.3,237.4,8100035,1962492834,57974
253,BEML,1300,1315,1281,1291.8,1284.95,1289.65,66652,86573968.6,5485
254,BEPL,114.1,115.5,110.65,112.35,112.5,114.1,226089,25423670.25,3930
